Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,3902.0,3902.0,3902.0,3902.0,0,0,0
2017-02-07,3902.0,3902.0,3902.0,3902.0,0,0,0
2017-02-08,3902.0,3902.0,3902.0,3902.0,0,0,0
2017-02-09,3902.0,3902.0,3902.0,3902.0,0,0,0
2017-02-10,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-02-13,3902.0,3902.0,3902.0,3902.0,0,0,0
2017-02-14,3902.0,3902.0,3902.0,3902.0,0,0,0
2017-02-15,3819.0,3824.0,3819.0,3819.0,110,0,0
2017-02-16,3743.0,3750.0,3743.0,3743.0,30,0,0
2017-02-17,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-02-21,3743.0,3743.0,3743.0,3743.0,0,0,0
2017-02-22,3743.0,3743.0,3743.0,3743.0,0,0,0
2017-02-23,3669.0,3669.0,3669.0,3669.0,10,0,0
2017-02-24,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-02-27,3650.0,3650.0,3650.0,3650.0,0,0,0
2017-02-28,3650.0,3650.0,3650.0,3650.0,0,0,0
2017-03-01,3650.0,3650.0,3650.0,3650.0,0,0,0
2017-03-02,3610.0,3645.0,3610.0,3610.0,25,0,0
2017-03-03,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-03-06,3500.0,3538.0,3500.0,3500.0,30,0,0
2017-03-07,3500.0,3500.0,3500.0,3500.0,0,0,0
2017-03-08,3500.0,3500.0,3500.0,3500.0,0,0,0
2017-03-09,3500.0,3500.0,3500.0,3500.0,0,0,0
2017-03-10,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-03-13,3500.0,3500.0,3500.0,3500.0,0,0,0
2017-03-14,3500.0,3500.0,3500.0,3500.0,0,0,0
2017-03-15,3510.0,3510.0,3510.0,3510.0,80,0,0
2017-03-16,3510.0,3510.0,3510.0,3510.0,0,0,0
2017-03-17,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-03-20,3510.0,3510.0,3510.0,3510.0,0,0,0
2017-03-21,3510.0,3510.0,3510.0,3510.0,0,0,0
2017-03-22,3510.0,3510.0,3510.0,3510.0,0,0,0
2017-03-23,3510.0,3510.0,3510.0,3510.0,0,0,0
2017-03-24,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-03-27,3510.0,3510.0,3510.0,3510.0,0,0,0
2017-03-28,3510.0,3510.0,3510.0,3510.0,350,0,0
2017-03-29,3450.0,3450.0,3440.0,3450.0,530,0,0
2017-03-30,3450.0,3450.0,3450.0,3450.0,0,0,0
2017-03-31,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-04-03,3450.0,3450.0,3450.0,3450.0,0,0,0
2017-04-04,3450.0,3450.0,3450.0,3450.0,0,0,0
2017-04-05,3450.0,3450.0,3450.0,3450.0,0,0,0
2017-04-06,3450.0,3450.0,3450.0,3450.0,12,0,0
2017-04-07,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.07000000029802322,0,0,0
2017-04-10,3449.0,3449.0,3449.0,3449.0,10,0,0
2017-04-11,3793.0,3793.0,3517.0,3793.0,50,0,0
2017-04-12,4088.0,4172.0,3868.0,4088.0,720,0,0
2017-04-13,4010.0,4010.0,4010.0,4010.0,30,0,0
