Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,7916.669921875,7916.669921875,7916.669921875,7916.669921875,0,0,0
2017-02-07,7916.669921875,7916.669921875,7916.669921875,7916.669921875,0,0,0
2017-02-08,7916.669921875,7916.669921875,7916.669921875,7916.669921875,0,0,0
2017-02-09,7166.669921875,7833.330078125,7166.669921875,7500.0,18600,0,0
2017-02-10,6750.0,7416.669921875,6750.0,7416.669921875,3000,0,0
2017-02-13,7333.330078125,7916.669921875,7250.0,7666.669921875,16920,0,0
2017-02-14,6916.669921875,7500.0,6916.669921875,7500.0,3720,0,0
2017-02-16,7500.0,7500.0,7500.0,7500.0,0,0,0
2017-02-17,7166.669921875,7416.669921875,7083.330078125,7416.669921875,6480,0,0
2017-02-21,7166.669921875,7416.669921875,7166.669921875,7416.669921875,1800,0,0
2017-02-22,6750.0,7416.669921875,6750.0,7416.669921875,720,0,0
2017-02-23,7166.669921875,7166.669921875,7083.330078125,7166.669921875,22560,0,0
2017-02-24,7000.0,7166.669921875,7000.0,7166.669921875,2520,0,0
2017-02-27,7166.669921875,7166.669921875,7166.669921875,7166.669921875,0,0,0
2017-02-28,7166.669921875,7166.669921875,7166.669921875,7166.669921875,0,0,0
2017-03-01,7166.669921875,7166.669921875,7166.669921875,7166.669921875,0,0,0
2017-03-02,6666.669921875,7416.669921875,6666.669921875,7416.669921875,600,0,0
2017-03-03,7333.330078125,7500.0,7083.330078125,7500.0,7680,0,0
2017-03-06,7583.330078125,7583.330078125,7583.330078125,7583.330078125,120,0,0
2017-03-07,7583.330078125,7583.330078125,7583.330078125,7583.330078125,0,0,0
2017-03-08,7583.330078125,7583.330078125,7583.330078125,7583.330078125,0,0,0
2017-03-09,7166.669921875,7416.669921875,7166.669921875,7416.669921875,1440,0,0
2017-03-10,7166.669921875,7416.669921875,7166.669921875,7416.669921875,7080,0,0
2017-03-13,7416.669921875,7416.669921875,6916.669921875,6916.669921875,1440,0,0
2017-03-14,7333.330078125,7333.330078125,7083.330078125,7166.669921875,28080,0,0
2017-03-15,7166.669921875,7166.669921875,7166.669921875,7166.669921875,360,0,0
2017-03-16,7333.330078125,7333.330078125,7333.330078125,7333.330078125,120,0,0
2017-03-17,6916.669921875,7333.330078125,6916.669921875,7333.330078125,1080,0,0
2017-03-20,6833.330078125,7083.330078125,6750.0,7083.330078125,6600,0,0
2017-03-21,6666.669921875,7083.330078125,6666.669921875,7083.330078125,720,0,0
2017-03-22,6666.669921875,7083.330078125,6666.669921875,7083.330078125,8640,0,0
2017-03-23,6500.0,7083.330078125,6500.0,7083.330078125,600,0,0
2017-03-24,6666.669921875,7416.669921875,6666.669921875,7416.669921875,33480,0,0
2017-03-27,6750.0,7166.669921875,6750.0,7166.669921875,5040,0,0
2017-03-28,6750.0,7333.330078125,6750.0,7166.669921875,60960,0,0
2017-03-29,6750.0,7083.330078125,6750.0,7083.330078125,6600,0,0
2017-03-30,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
2017-03-31,6833.330078125,7000.0,6833.330078125,7000.0,1560,0,0
2017-04-03,7000.0,7000.0,7000.0,7000.0,0,0,0
2017-04-04,7083.330078125,7083.330078125,7083.330078125,7083.330078125,120,0,0
2017-04-05,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
2017-04-06,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
2017-04-07,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
2017-04-10,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
2017-04-11,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
2017-04-12,7083.330078125,7083.330078125,7083.330078125,7083.330078125,0,0,0
