Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,10900.0,10900.0,10850.0,10900.0,3435,0,0
2017-02-07,10900.0,10900.0,10900.0,10900.0,272,0,0
2017-02-08,11100.0,11100.0,10900.0,11100.0,19112,0,0
2017-02-09,11100.0,11100.0,11100.0,11100.0,2129,0,0
2017-02-10,11100.0,11100.0,10600.0,11100.0,8618,0,0
2017-02-13,11100.0,11100.0,10950.0,11100.0,2641,0,0
2017-02-14,11100.0,11100.0,11100.0,11100.0,435,0,0
2017-02-15,11050.0,11050.0,10700.0,11050.0,26081,0,0
2017-02-16,11050.0,11100.0,11000.0,11050.0,34130,0,0
2017-02-17,11050.0,11050.0,11000.0,11050.0,6125,0,0
2017-02-21,11100.0,11100.0,11000.0,11100.0,70505,0,0
2017-02-22,11100.0,11100.0,11050.0,11100.0,7750,0,0
2017-02-23,11100.0,11100.0,11050.0,11100.0,9681,0,0
2017-02-24,11000.0,11100.0,10950.0,11000.0,31746,0,0
2017-02-27,11100.0,11100.0,11100.0,11100.0,1142,0,0
2017-02-28,11850.0,11850.0,11150.0,11850.0,98364,0,0
2017-03-01,11800.0,11800.0,11400.0,11800.0,17309,0,0
2017-03-02,11650.0,11700.0,11600.0,11650.0,4152,0,0
2017-03-03,11550.0,11550.0,11550.0,11550.0,2995,0,0
2017-03-06,11550.0,11550.0,11550.0,11550.0,1760,0,0
2017-03-07,11550.0,11550.0,11350.0,11550.0,7462,0,0
2017-03-08,11550.0,11550.0,11550.0,11550.0,0,0,0
2017-03-09,11550.0,11550.0,11550.0,11550.0,0,0,0
2017-03-10,11500.0,11500.0,11500.0,11500.0,2777,0,0
2017-03-13,11500.0,11500.0,11300.0,11500.0,4414,0,0
2017-03-14,11450.0,11450.0,11450.0,11450.0,10122,0,0
2017-03-15,11450.0,11450.0,11450.0,11450.0,1462,0,0
2017-03-16,11450.0,11450.0,11450.0,11450.0,788,0,0
2017-03-17,11450.0,11450.0,11450.0,11450.0,108,0,0
2017-03-20,11450.0,11450.0,11450.0,11450.0,0,0,0
2017-03-21,11450.0,11450.0,11450.0,11450.0,96,0,0
