Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,69000.0,69500.0,67000.0,68000.0,33600,0,0
2017-02-07,67000.0,68500.0,67000.0,67800.0,38000,0,0
2017-02-08,67800.0,72000.0,67800.0,72000.0,72320,0,0
2017-02-09,73800.0,74500.0,72000.0,73800.0,76260,0,0
2017-02-10,73700.0,73800.0,73000.0,73200.0,32140,0,0
2017-02-13,73200.0,78300.0,73200.0,78300.0,160370,0,0
2017-02-14,79000.0,80000.0,78000.0,78600.0,123880,0,0
2017-02-15,78600.0,79200.0,78500.0,78800.0,103390,0,0
2017-02-16,78800.0,79500.0,78500.0,78800.0,109260,0,0
2017-02-17,78600.0,84000.0,78600.0,83000.0,152140,0,0
2017-02-21,81100.0,82100.0,79800.0,80000.0,85330,0,0
2017-02-22,80000.0,82400.0,80000.0,81000.0,108820,0,0
2017-02-23,82000.0,82000.0,79600.0,80500.0,83220,0,0
2017-02-24,81000.0,81000.0,78500.0,78500.0,36260,0,0
2017-02-27,78500.0,78500.0,75000.0,75000.0,49810,0,0
2017-02-28,75000.0,76300.0,74000.0,74000.0,47570,0,0
2017-03-01,73100.0,75000.0,73000.0,74000.0,24680,0,0
2017-03-02,74000.0,74600.0,73000.0,73600.0,15020,0,0
2017-03-03,73100.0,73600.0,71600.0,73500.0,38590,0,0
2017-03-06,75000.0,76500.0,74900.0,75600.0,36080,0,0
2017-03-07,77000.0,77800.0,76500.0,77400.0,24200,0,0
2017-03-08,77400.0,82000.0,76900.0,81400.0,77100,0,0
2017-03-09,81000.0,82000.0,79000.0,81000.0,73770,0,0
2017-03-10,80000.0,80200.0,79500.0,79500.0,35540,0,0
2017-03-13,79900.0,81000.0,78000.0,81000.0,35630,0,0
2017-03-14,81100.0,83500.0,81000.0,83200.0,114200,0,0
2017-03-15,83500.0,83500.0,82000.0,83000.0,59140,0,0
2017-03-16,83000.0,85800.0,82500.0,85700.0,119400,0,0
2017-03-17,86000.0,86000.0,83000.0,83500.0,60840,0,0
2017-03-20,83500.0,85900.0,83500.0,85000.0,72590,0,0
2017-03-21,85100.0,86200.0,85000.0,86100.0,105320,0,0
2017-03-22,87300.0,87300.0,82000.0,82000.0,18230,0,0
2017-03-23,81000.0,87700.0,81000.0,87700.0,205900,0,0
2017-03-24,87700.0,92000.0,87500.0,90200.0,97150,0,0
2017-03-27,89500.0,95500.0,89500.0,95500.0,152960,0,0
2017-03-28,95500.0,98000.0,95000.0,95500.0,216920,0,0
2017-03-29,92100.0,95800.0,92100.0,95000.0,125670,0,0
2017-03-30,95500.0,95800.0,95000.0,95300.0,93490,0,0
2017-03-31,95300.0,95300.0,89000.0,91700.0,41180,0,0
2017-04-03,91700.0,91700.0,89000.0,90300.0,19360,0,0
2017-04-04,92500.0,92500.0,90100.0,90400.0,16150,0,0
2017-04-05,90200.0,90600.0,90000.0,90000.0,23620,0,0
2017-04-06,90000.0,90000.0,90000.0,90000.0,0,0,0
2017-04-07,90000.0,90000.0,88000.0,88000.0,11540,0,0
2017-04-10,88000.0,88000.0,86100.0,87000.0,11620,0,0
2017-04-11,88000.0,92500.0,88000.0,92500.0,54200,0,0
2017-04-12,92500.0,93000.0,89000.0,91000.0,8670,0,0
2017-04-13,88200.0,92000.0,88200.0,91500.0,7290,0,0
2017-04-17,88000.0,91900.0,88000.0,88100.0,7370,0,0
2017-04-18,88000.0,89900.0,88000.0,89500.0,7190,0,0
2017-04-19,88000.0,91000.0,88000.0,90700.0,6230,0,0
2017-04-20,90000.0,90000.0,89000.0,89000.0,7020,0,0
2017-04-21,88200.0,89500.0,88000.0,89500.0,10840,0,0
2017-04-24,90000.0,90000.0,88000.0,88000.0,6200,0,0
2017-04-25,88500.0,88500.0,87100.0,87200.0,4700,0,0
2017-04-26,87200.0,91700.0,87200.0,91700.0,34310,0,0
2017-04-27,92000.0,93500.0,92000.0,92700.0,19250,0,0
2017-04-28,92700.0,92700.0,92700.0,92700.0,0,0,0
2017-05-01,92700.0,92700.0,92700.0,92700.0,0,0,0
2017-05-02,92700.0,92700.0,92700.0,92700.0,0,0,0
2017-05-03,91100.0,91100.0,90500.0,91000.0,6130,0,0
2017-05-04,91000.0,93000.0,90500.0,92900.0,28950,0,0
2017-05-05,92800.0,92900.0,91200.0,91200.0,3530,0,0
2017-05-08,91200.0,91300.0,90500.0,91200.0,25520,0,0
2017-05-09,90600.0,97500.0,90500.0,97500.0,42200,0,0
2017-05-10,98000.0,98000.0,95500.0,96000.0,6910,0,0
2017-05-11,95500.0,96000.0,95000.0,95000.0,4920,0,0
2017-05-12,95900.0,95900.0,90100.0,92000.0,2860,0,0
2017-05-15,92200.0,95000.0,90500.0,94800.0,19490,0,0
2017-05-16,95000.0,100000.0,94000.0,99700.0,75440,0,0
2017-05-17,99700.0,105000.0,99700.0,105000.0,70660,0,0
2017-05-18,105100.0,105100.0,102000.0,104000.0,27780,0,0
