Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,11437.2001953125,11437.2001953125,11437.2001953125,11437.2001953125,0,0,0
2017-02-07,12227.599609375,12227.599609375,10972.2998046875,12227.599609375,4420,0,0
2017-02-08,12227.599609375,12227.599609375,12227.599609375,12227.599609375,0,0,0
2017-02-09,11390.7001953125,11390.7001953125,11390.7001953125,11390.7001953125,10,0,0
2017-02-10,11204.7998046875,11204.7998046875,11204.7998046875,11204.7998046875,10,0,0
2017-02-13,11204.7998046875,11204.7998046875,11204.7998046875,11204.7998046875,0,0,0
2017-02-14,11204.7998046875,11204.7998046875,11204.7998046875,11204.7998046875,0,0,0
2017-02-15,11158.2998046875,11948.7001953125,11158.2998046875,11948.7001953125,397,0,0
2017-02-16,11251.2998046875,11251.2998046875,11251.2998046875,11251.2998046875,107,0,0
2017-02-17,11995.099609375,11995.099609375,11251.2998046875,11251.2998046875,21,0,0
2017-02-21,12832.0,12832.0,12832.0,12832.0,193,0,0
2017-02-22,13668.900390625,13715.400390625,11995.099609375,11995.099609375,182,0,0
2017-02-23,11437.2001953125,11437.2001953125,11437.2001953125,11437.2001953125,10,0,0
2017-02-24,11623.2001953125,11623.2001953125,11623.2001953125,11623.2001953125,10,0,0
2017-02-27,12413.599609375,12413.599609375,12413.599609375,12413.599609375,10,0,0
2017-02-28,11716.2001953125,13250.5,11716.2001953125,13250.5,53,0,0
2017-03-01,13947.7998046875,13947.7998046875,12367.099609375,12367.099609375,2365,0,0
2017-03-02,11716.2001953125,11716.2001953125,11716.2001953125,11716.2001953125,10,0,0
2017-03-03,11809.2001953125,12506.599609375,11809.2001953125,12506.599609375,4452,0,0
2017-03-06,13343.400390625,13343.400390625,11809.2001953125,11809.2001953125,32,0,0
2017-03-07,12599.599609375,12599.599609375,11716.2001953125,11716.2001953125,21,0,0
2017-03-08,12506.599609375,12506.599609375,12506.599609375,12506.599609375,10,0,0
2017-03-09,11716.2001953125,13343.400390625,11716.2001953125,13343.400390625,3495,0,0
2017-03-10,13343.400390625,13343.400390625,13343.400390625,13343.400390625,21,0,0
2017-03-13,13343.400390625,13343.400390625,13343.400390625,13343.400390625,0,0,0
