Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-19,1.5,1.5,1.5,1.5,5000,0,0
2021-03-22,1.75,1.75,1.75,1.75,2000,0,0
2021-03-23,1.75,1.75,1.75,1.75,0,0,0
2021-03-24,1.75,1.75,1.75,1.75,0,0,0
2021-03-25,1.75,1.75,1.75,1.75,0,0,0
2021-03-26,1.75,1.75,1.75,1.75,0,0,0
2021-03-29,1.75,1.75,1.75,1.75,0,0,0
2021-03-30,1.75,1.75,1.75,1.75,0,0,0
2021-03-31,1.75,1.75,1.75,1.75,0,0,0
2021-04-01,1.75,1.75,1.75,1.75,0,0,0
2021-04-05,1.75,1.75,1.75,1.75,0,0,0
2021-04-06,1.75,1.75,1.75,1.75,0,0,0
2021-04-07,1.75,1.75,1.75,1.75,0,0,0
2021-04-08,1.75,1.75,1.75,1.75,0,0,0
2021-04-09,1.75,1.75,1.75,1.75,0,0,0
2021-04-12,1.75,1.75,1.75,1.75,0,0,0
2021-04-13,1.75,1.75,1.75,1.75,0,0,0
2021-04-14,1.75,1.75,1.75,1.75,0,0,0
2021-04-15,1.75,1.75,1.75,1.75,0,0,0
2021-04-16,1.75,1.75,1.75,1.75,0,0,0
2021-04-19,1.75,1.75,1.75,1.75,0,0,0
2021-04-20,1.75,1.75,1.75,1.75,0,0,0
2021-04-21,1.75,1.75,1.75,1.75,0,0,0
2021-04-22,1.75,1.75,1.75,1.75,0,0,0
2021-04-23,1.75,1.75,1.75,1.75,0,0,0
2021-04-26,1.75,1.75,1.75,1.75,0,0,0
2021-04-27,1.75,1.75,1.75,1.75,0,0,0
2021-04-28,1.75,1.75,1.75,1.75,0,0,0
2021-04-29,1.75,1.75,1.75,1.75,0,0,0
2021-04-30,1.75,1.75,1.75,1.75,0,0,0
2021-05-03,1.75,1.75,1.75,1.75,0,0,0
2021-05-04,1.75,1.75,1.75,1.75,0,0,0
2021-05-05,1.75,1.75,1.75,1.75,0,0,0
2021-05-06,1.75,1.75,1.75,1.75,0,0,0
2021-05-07,1.75,1.75,1.75,1.75,0,0,0
2021-05-10,1.75,1.75,1.75,1.75,0,0,0
2021-05-11,1.75,1.75,1.75,1.75,0,0,0
2021-05-12,1.75,1.75,1.75,1.75,0,0,0
2021-05-13,1.75,1.75,1.75,1.75,0,0,0
2021-05-14,1.75,1.75,1.75,1.75,0,0,0
2021-05-17,1.75,1.75,1.75,1.75,0,0,0
2021-05-18,1.75,1.75,1.75,1.75,0,0,0
2021-05-19,1.75,1.75,1.75,1.75,0,0,0
2021-05-20,1.75,1.75,1.75,1.75,0,0,0
2021-05-21,1.75,1.75,1.75,1.75,0,0,0
2021-05-24,1.75,1.75,1.75,1.75,0,0,0
2021-05-25,1.75,1.75,1.75,1.75,0,0,0
2021-05-26,1.75,1.75,1.75,1.75,0,0,0
2021-05-27,1.75,1.75,1.75,1.75,0,0,0
2021-05-28,1.75,1.75,1.75,1.75,0,0,0
2021-06-01,1.75,1.75,1.75,1.75,0,0,0
2021-06-02,1.75,1.75,1.75,1.75,0,0,0
2021-06-03,1.75,1.75,1.75,1.75,0,0,0
2021-06-04,1.75,1.75,1.75,1.75,0,0,0
2021-06-07,1.75,1.75,1.75,1.75,0,0,0
2021-06-08,1.75,1.75,1.75,1.75,0,0,0
2021-06-09,1.75,1.75,1.75,1.75,0,0,0
2021-06-10,1.75,1.75,1.75,1.75,0,0,0
2021-06-11,1.75,1.75,1.75,1.75,0,0,0
2021-06-14,1.75,1.75,1.75,1.75,0,0,0
2021-06-15,1.75,1.75,1.75,1.75,0,0,0
2021-06-16,1.75,1.75,1.75,1.75,0,0,0
2021-06-17,1.75,1.75,1.75,1.75,0,0,0
2021-06-18,1.75,1.75,1.75,1.75,0,0,0
2021-06-21,1.75,1.75,1.75,1.75,0,0,0
2021-06-22,1.75,1.75,1.75,1.75,0,0,0
2021-06-23,1.75,1.75,1.75,1.75,0,0,0
2021-06-24,1.75,1.75,1.75,1.75,0,0,0
2021-06-25,1.75,1.75,1.75,1.75,0,0,0
2021-06-28,1.75,1.75,1.75,1.75,0,0,0
2021-06-29,1.75,1.75,1.75,1.75,0,0,0
2021-06-30,1.75,1.75,1.75,1.75,0,0,0
2021-07-01,1.75,1.75,1.75,1.75,0,0,0
2021-07-02,1.75,1.75,1.75,1.75,0,0,0
2021-07-06,1.75,1.75,1.75,1.75,0,0,0
2021-07-07,1.75,1.75,1.75,1.75,0,0,0
2021-07-08,1.75,1.75,1.75,1.75,0,0,0
2021-07-09,1.75,1.75,1.75,1.75,0,0,0
2021-07-12,1.75,1.75,1.75,1.75,0,0,0
2021-07-13,1.75,1.75,1.75,1.75,0,0,0
2021-07-14,1.75,1.75,1.75,1.75,0,0,0
2021-07-15,1.75,1.75,1.75,1.75,0,0,0
2021-07-16,1.75,1.75,1.75,1.75,0,0,0
2021-07-19,1.75,1.75,1.75,1.75,0,0,0
2021-07-20,1.75,1.75,1.75,1.75,0,0,0
2021-07-21,1.75,1.75,1.75,1.75,0,0,0
2021-07-22,1.75,1.75,1.75,1.75,0,0,0
2021-07-23,1.75,1.75,1.75,1.75,0,0,0
2021-07-26,1.75,1.75,1.75,1.75,0,0,0
2021-07-27,1.75,1.75,1.75,1.75,0,0,0
2021-07-28,1.75,1.75,1.75,1.75,0,0,0
2021-07-29,1.75,1.75,1.75,1.75,0,0,0
2021-07-30,5.0,5.0,5.0,5.0,100,0,0
2021-08-02,10.0,10.3100004196167,10.0,10.3100004196167,2774,0,0
2021-08-03,10.420000076293945,10.420000076293945,6.0,9.029999732971191,8461,0,0
2021-08-04,9.029999732971191,9.029999732971191,9.029999732971191,9.029999732971191,0,0,0
2021-08-05,15.0,25.0,15.0,15.0,617,0,0
2021-08-06,37.599998474121094,37.599998474121094,37.599998474121094,37.599998474121094,444,0,0
2021-08-09,29.0,29.5,9.770000457763672,20.0,3148,0,0
2021-08-10,21.0,24.0,20.0,23.0,26957,0,0
2021-08-11,25.0,30.0,24.799999237060547,29.0,39390,0,0
2021-08-12,34.0,35.29999923706055,32.599998474121094,35.20000076293945,57537,0,0
2021-08-13,40.0,45.0,38.0,45.0,56990,0,0
2021-08-16,49.900001525878906,49.900001525878906,22.5,28.0,38482,0,0
2021-08-17,25.049999237060547,25.049999237060547,14.199999809265137,14.300000190734863,12472,0,0
2021-08-18,13.010000228881836,13.210000038146973,8.0,11.760000228881836,6927,0,0
2021-08-19,13.989999771118164,14.5,6.050000190734863,13.010000228881836,10588,0,0
