Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-01,4.75,5.0,4.75,4.75,20000,0,0
2017-08-02,4.75,4.75,4.75,4.75,0,0,0
2017-08-03,4.75,4.75,4.75,4.75,0,0,0
2017-08-04,4.75,4.75,4.75,4.75,0,0,0
2017-08-07,4.75,4.75,4.75,4.75,0,0,0
2017-08-08,4.75,4.75,4.75,4.75,0,0,0
2017-08-09,4.75,4.75,4.75,4.75,0,0,0
2017-08-10,4.75,4.75,4.75,4.75,0,0,0
2017-08-11,4.75,4.75,4.75,4.75,0,0,0
2017-08-14,4.75,4.75,4.75,4.75,0,0,0
2017-08-15,4.75,4.75,4.75,4.75,0,0,0
2017-08-16,4.75,4.75,4.75,4.75,0,0,0
2017-08-17,4.75,4.75,4.75,4.75,0,0,0
2017-08-18,4.75,4.75,4.75,4.75,0,0,0
2017-08-21,4.75,4.75,4.75,4.75,0,0,0
2017-08-22,4.75,4.75,4.75,4.75,0,0,0
2017-08-23,4.75,4.75,4.75,4.75,0,0,0
2017-08-24,4.75,4.75,4.75,4.75,0,0,0
2017-08-25,4.75,4.75,4.75,4.75,0,0,0
2017-08-28,4.75,4.75,4.75,4.75,0,0,0
2017-08-29,4.75,4.75,4.75,4.75,0,0,0
2017-08-30,4.75,4.75,4.75,4.75,0,0,0
2017-08-31,4.75,4.75,4.75,4.75,0,0,0
2017-09-01,4.75,4.75,4.75,4.75,0,0,0
2017-09-05,4.75,4.75,4.75,4.75,0,0,0
2017-09-06,4.75,4.75,4.75,4.75,0,0,0
2017-09-07,4.75,4.75,4.75,4.75,0,0,0
2017-09-08,4.75,4.75,4.75,4.75,0,0,0
2017-09-11,4.75,4.75,4.75,4.75,0,0,0
2017-09-12,4.75,4.75,4.75,4.75,0,0,0
2017-09-13,4.75,4.75,4.75,4.75,0,0,0
2017-09-14,4.75,4.75,4.75,4.75,0,0,0
2017-09-15,4.75,4.75,4.75,4.75,0,0,0
2017-09-18,4.75,4.75,4.75,4.75,0,0,0
2017-09-19,4.75,4.75,4.75,4.75,0,0,0
2017-09-20,4.75,4.75,4.75,4.75,0,0,0
2017-09-21,4.75,4.75,4.75,4.75,0,0,0
2017-09-22,4.75,4.75,4.75,4.75,0,0,0
2017-09-25,4.75,4.75,4.75,4.75,0,0,0
2017-09-26,4.75,4.75,4.75,4.75,0,0,0
2017-09-27,4.75,4.75,4.75,4.75,0,0,0
2017-09-28,4.75,5.0,3.549999952316284,4.75,15000,0,0
2017-09-29,4.75,4.75,4.75,4.75,0,0,0
2017-10-02,4.75,4.75,4.75,4.75,0,0,0
2017-10-03,4.75,4.75,4.75,4.75,0,0,0
2017-10-04,4.75,4.75,4.75,4.75,0,0,0
2017-10-05,4.75,4.75,4.75,4.75,0,0,0
2017-10-06,4.75,4.75,4.75,4.75,0,0,0
2017-10-09,4.75,4.75,4.75,4.75,0,0,0
2017-10-10,4.75,4.75,4.75,4.75,0,0,0
2017-10-11,4.75,4.75,4.75,4.75,0,0,0
2017-10-12,4.75,4.75,4.75,4.75,0,0,0
2017-10-13,4.75,4.75,4.75,4.75,0,0,0
2017-10-16,4.75,4.75,4.75,4.75,0,0,0
2017-10-17,4.75,4.75,4.75,4.75,0,0,0
2017-10-18,4.75,4.75,4.75,4.75,0,0,0
2017-10-19,4.75,4.75,4.75,4.75,0,0,0
2017-10-20,4.75,4.75,4.75,4.75,0,0,0
2017-10-23,4.75,4.75,4.75,4.75,0,0,0
2017-10-24,4.75,4.75,4.75,4.75,0,0,0
2017-10-25,4.75,4.75,4.75,4.75,0,0,0
2017-10-26,4.75,4.75,4.75,4.75,0,0,0
2017-10-27,4.75,4.75,4.75,4.75,0,0,0
2017-10-30,4.75,4.75,4.75,4.75,0,0,0
2017-10-31,4.75,4.75,4.75,4.75,0,0,0
2017-11-01,4.75,4.75,4.75,4.75,0,0,0
2017-11-02,4.75,4.75,4.75,4.75,0,0,0
2017-11-03,4.75,4.75,4.75,4.75,0,0,0
2017-11-06,4.75,4.75,4.75,4.75,0,0,0
2017-11-07,4.75,4.75,4.75,4.75,0,0,0
2017-11-08,4.75,4.75,4.75,4.75,0,0,0
2017-11-09,4.75,4.75,4.75,4.75,0,0,0
2017-11-10,4.75,4.75,4.75,4.75,0,0,0
2017-11-13,4.75,4.75,4.75,4.75,0,0,0
2017-11-14,4.75,4.75,4.75,4.75,0,0,0
2017-11-15,4.75,4.75,4.75,4.75,0,0,0
2017-11-16,4.75,4.75,4.75,4.75,0,0,0
2017-11-17,4.75,4.75,4.75,4.75,0,0,0
2017-11-20,4.75,4.75,4.75,4.75,0,0,0
2017-11-21,4.75,4.75,4.75,4.75,0,0,0
2017-11-22,4.75,4.75,4.75,4.75,0,0,0
2017-11-24,4.75,4.75,4.75,4.75,0,0,0
2017-11-27,4.75,4.75,4.75,4.75,0,0,0
2017-11-28,4.75,4.75,4.75,4.75,0,0,0
