Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,27900.0,27900.0,27900.0,27900.0,0,0,0
2017-02-07,27900.0,27900.0,27900.0,27900.0,0,0,0
2017-02-08,26800.0,26800.0,26800.0,26800.0,100,0,0
2017-02-09,28000.0,28000.0,24200.0,26000.0,12100,0,0
2017-02-10,26000.0,26000.0,26000.0,26000.0,0,0,0
2017-02-13,23800.0,25000.0,23800.0,25000.0,1500,0,0
2017-02-14,24500.0,24500.0,24500.0,24500.0,1500,0,0
2017-02-16,23100.0,25200.0,23100.0,25100.0,2400,0,0
2017-02-17,27500.0,27500.0,27500.0,27500.0,100,0,0
2017-02-21,26700.0,26700.0,26700.0,26700.0,100,0,0
2017-02-22,26700.0,26700.0,26700.0,26700.0,0,0,0
2017-02-23,26700.0,26700.0,26700.0,26700.0,0,0,0
2017-02-24,29100.0,29100.0,29100.0,29100.0,100,0,0
2017-02-27,29100.0,29100.0,29100.0,29100.0,0,0,0
2017-02-28,29100.0,29100.0,29100.0,29100.0,0,0,0
2017-03-01,29000.0,29000.0,26200.0,26200.0,2500,0,0
2017-03-02,26200.0,26200.0,26200.0,26200.0,0,0,0
2017-03-03,24100.0,26100.0,23700.0,26100.0,1200,0,0
2017-03-06,26100.0,26100.0,26100.0,26100.0,0,0,0
2017-03-07,26100.0,26100.0,26100.0,26100.0,0,0,0
2017-03-08,26100.0,26100.0,26100.0,26100.0,0,0,0
2017-03-09,26100.0,26100.0,26100.0,26100.0,0,0,0
2017-03-10,26100.0,26100.0,26100.0,26100.0,0,0,0
2017-03-13,26100.0,26100.0,26100.0,26100.0,0,0,0
2017-03-14,26500.0,26500.0,26100.0,26100.0,8100,0,0
2017-03-15,25000.0,25000.0,24300.0,24300.0,7380,0,0
2017-03-16,24300.0,25000.0,24300.0,24900.0,900,0,0
2017-03-17,24900.0,24900.0,24900.0,24900.0,0,0,0
2017-03-20,24200.0,27200.0,24200.0,27200.0,510,0,0
2017-03-21,24600.0,24600.0,24500.0,24500.0,16800,0,0
2017-03-22,26600.0,26600.0,24000.0,24800.0,6100,0,0
2017-03-23,26900.0,26900.0,22400.0,26700.0,5210,0,0
2017-03-24,26700.0,26700.0,26700.0,26700.0,30,0,0
2017-03-27,24100.0,29200.0,24100.0,24100.0,4200,0,0
2017-03-28,22600.0,24000.0,22000.0,24000.0,4600,0,0
2017-03-29,23500.0,23500.0,23500.0,23500.0,1000,0,0
2017-03-30,24900.0,24900.0,24000.0,24000.0,3800,0,0
2017-03-31,24000.0,25000.0,24000.0,25000.0,1603,0,0
2017-04-03,25900.0,26500.0,25900.0,26500.0,300,0,0
2017-04-04,24000.0,25900.0,24000.0,25900.0,15400,0,0
2017-04-05,24400.0,24400.0,24400.0,24400.0,101,0,0
2017-04-06,24400.0,24400.0,24400.0,24400.0,0,0,0
2017-04-07,22600.0,26400.0,22000.0,26400.0,1400,0,0
2017-04-10,24000.0,26200.0,23800.0,26200.0,10300,0,0
2017-04-11,26300.0,26300.0,24000.0,24100.0,8300,0,0
2017-04-12,24000.0,24000.0,24000.0,24000.0,9300,0,0
2017-04-13,24000.0,24000.0,24000.0,24000.0,0,0,0
2017-04-17,24000.0,24000.0,24000.0,24000.0,1100,0,0
2017-04-18,24000.0,24000.0,24000.0,24000.0,1000,0,0
2017-04-19,24000.0,24000.0,24000.0,24000.0,1000,0,0
2017-04-20,24000.0,24000.0,24000.0,24000.0,1100,0,0
2017-04-21,24500.0,24500.0,24500.0,24500.0,500,0,0
2017-04-24,24900.0,24900.0,24000.0,24000.0,1000,0,0
2017-04-25,24000.0,24100.0,24000.0,24100.0,2900,0,0
2017-04-26,24000.0,24000.0,24000.0,24000.0,300,0,0
2017-04-27,24000.0,24800.0,24000.0,24800.0,750,0,0
2017-04-28,24000.0,24000.0,24000.0,24000.0,805,0,0
2017-05-01,24000.0,24000.0,24000.0,24000.0,0,0,0
2017-05-02,24000.0,24000.0,24000.0,24000.0,0,0,0
2017-05-03,24500.0,24500.0,24000.0,24000.0,2710,0,0
2017-05-04,24000.0,24000.0,24000.0,24000.0,40,0,0
2017-05-05,24000.0,24000.0,24000.0,24000.0,5,0,0
2017-05-08,24000.0,24000.0,24000.0,24000.0,6400,0,0
2017-05-09,24500.0,24800.0,24500.0,24800.0,400,0,0
2017-05-10,24800.0,24800.0,24800.0,24800.0,31,0,0
