Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-07,41400.0,42500.0,40500.0,40500.0,1255680,0,0
2019-05-08,40000.0,40000.0,39300.0,39350.0,514730,0,0
2019-05-09,39900.0,39900.0,39050.0,39150.0,332280,0,0
2019-05-10,39150.0,39650.0,38550.0,39100.0,545760,0,0
2019-05-13,39000.0,40450.0,38500.0,40100.0,759280,0,0
2019-05-14,39700.0,41200.0,39600.0,41200.0,963990,0,0
2019-05-15,41300.0,41700.0,40800.0,40800.0,654310,0,0
2019-05-16,40800.0,41000.0,40600.0,40600.0,271190,0,0
2019-05-17,40900.0,41200.0,40550.0,40600.0,516050,0,0
2019-05-20,40600.0,41250.0,40600.0,41150.0,839280,0,0
2019-05-21,41400.0,42450.0,41400.0,42300.0,2206220,0,0
2019-05-22,42400.0,43250.0,42100.0,42600.0,1690050,0,0
2019-05-23,42600.0,42800.0,42400.0,42800.0,830590,0,0
2019-05-24,42800.0,43300.0,42400.0,42850.0,1508050,0,0
2019-05-28,43800.0,45000.0,43700.0,45000.0,1946040,0,0
2019-05-29,45000.0,45000.0,43900.0,44400.0,1069250,0,0
2019-05-30,44600.0,45300.0,44000.0,44850.0,1309010,0,0
2019-05-31,44000.0,44350.0,43450.0,43450.0,1401520,0,0
2019-06-03,43000.0,43000.0,41100.0,41100.0,1032910,0,0
2019-06-04,41900.0,41900.0,41100.0,41450.0,566630,0,0
2019-06-05,42400.0,42400.0,41600.0,42000.0,463030,0,0
2019-06-06,41900.0,41950.0,41250.0,41500.0,354600,0,0
2019-06-07,42000.0,43200.0,41700.0,43200.0,1115580,0,0
2019-06-10,43600.0,43600.0,43050.0,43250.0,690310,0,0
2019-06-11,43250.0,43700.0,43000.0,43300.0,769000,0,0
2019-06-12,43300.0,43800.0,43200.0,43400.0,846880,0,0
2019-06-13,43250.0,43400.0,42150.0,42150.0,725360,0,0
2019-06-14,42150.0,42800.0,41900.0,42750.0,519420,0,0
2019-06-17,42600.0,42950.0,41750.0,42200.0,513740,0,0
2019-06-18,42400.0,42500.0,41950.0,42500.0,309680,0,0
2019-06-19,43000.0,43450.0,42700.0,42850.0,580300,0,0
2019-06-20,42850.0,43700.0,42850.0,43600.0,1009120,0,0
2019-06-21,43900.0,43900.0,42900.0,43200.0,757270,0,0
2019-06-24,43400.0,43400.0,42850.0,42900.0,498780,0,0
2019-06-25,42900.0,42900.0,42200.0,42200.0,1131940,0,0
2019-06-26,42100.0,42200.0,41550.0,41550.0,1139200,0,0
2019-06-27,41800.0,41900.0,41200.0,41200.0,822260,0,0
2019-06-28,41200.0,42000.0,41200.0,42000.0,662860,0,0
2019-07-01,42350.0,42400.0,41900.0,42000.0,296100,0,0
2019-07-02,42300.0,42300.0,41800.0,42000.0,296650,0,0
2019-07-03,42000.0,42000.0,41700.0,41800.0,225240,0,0
2019-07-05,42400.0,42450.0,42150.0,42200.0,466800,0,0
2019-07-08,42050.0,42900.0,41950.0,42900.0,850800,0,0
2019-07-09,42900.0,42900.0,42900.0,42900.0,0,0,0
2019-07-10,42750.0,43650.0,42750.0,43250.0,1895640,0,0
2019-07-11,43500.0,43800.0,43050.0,43700.0,1048620,0,0
2019-07-12,43650.0,44300.0,43550.0,43900.0,1585470,0,0
2019-07-15,43900.0,43900.0,43650.0,43750.0,584740,0,0
2019-07-16,43850.0,44300.0,41800.0,42100.0,3059790,0,0
2019-07-17,42100.0,42650.0,41800.0,42500.0,1039330,0,0
2019-07-18,42100.0,42600.0,42100.0,42500.0,397910,0,0
2019-07-19,42500.0,42500.0,41950.0,42050.0,718570,0,0
2019-07-22,42000.0,42500.0,41950.0,42000.0,553500,0,0
2019-07-23,42000.0,43000.0,42000.0,42700.0,716430,0,0
2019-07-24,42800.0,42900.0,42500.0,42500.0,605350,0,0
2019-07-25,42500.0,42500.0,42500.0,42500.0,0,0,0
2019-07-26,42500.0,42500.0,42500.0,42500.0,0,0,0
2019-07-29,42500.0,42500.0,42500.0,42500.0,0,0,0
2019-07-30,42500.0,42500.0,42500.0,42500.0,0,0,0
2019-07-31,41650.0,41900.0,41400.0,41650.0,552290,0,0
2019-08-01,41500.0,41700.0,41200.0,41200.0,487820,0,0
2019-08-02,40800.0,40800.0,39800.0,40000.0,949220,0,0
2019-08-05,40000.0,40500.0,39950.0,40050.0,424610,0,0
2019-08-06,40050.0,40050.0,40050.0,40050.0,0,0,0
2019-08-07,39000.0,39500.0,39000.0,39200.0,659210,0,0
2019-08-08,39200.0,39950.0,39000.0,39950.0,321310,0,0
2019-08-09,39950.0,39950.0,39950.0,39950.0,0,0,0
2019-08-12,39400.0,39900.0,39300.0,39400.0,281730,0,0
2019-08-13,39150.0,39450.0,39050.0,39200.0,347810,0,0
2019-08-14,39400.0,39500.0,39200.0,39200.0,217170,0,0
2019-08-15,38100.0,39200.0,38100.0,38600.0,420630,0,0
2019-08-16,38600.0,39000.0,38600.0,38900.0,326360,0,0
2019-08-19,39200.0,39200.0,38950.0,39050.0,145610,0,0
2019-08-20,39000.0,39450.0,39000.0,39000.0,324230,0,0
2019-08-21,39000.0,39400.0,39000.0,39300.0,365760,0,0
2019-08-22,39500.0,39500.0,39000.0,39000.0,271630,0,0
2019-08-23,39100.0,39100.0,38300.0,38600.0,433570,0,0
2019-08-26,38000.0,38600.0,37350.0,37500.0,632660,0,0
2019-08-27,37600.0,38100.0,36050.0,36050.0,1169520,0,0
2019-08-28,36050.0,36500.0,35550.0,35550.0,630220,0,0
2019-08-29,35600.0,36300.0,35600.0,36000.0,379250,0,0
2019-08-30,36250.0,36550.0,36000.0,36250.0,336220,0,0
2019-09-03,36500.0,36600.0,35600.0,36000.0,343430,0,0
