Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,100.5104093721103,101.88165014770782,100.5104093721103,101.66263580322266,1033400,0.0,0
2017-02-07,102.71010927122279,104.33846261654088,101.81498825392524,101.94830322265625,1847700,0.0,0
2017-02-08,102.03402555654019,102.32922199485643,101.39601707012416,101.71977996826172,995400,0.0,0
2017-02-09,102.26253563855667,102.51012366233434,101.57691173586154,102.44346618652344,782400,0.0,0
2017-02-10,102.3673101707741,103.1386336248963,102.14828854305745,102.84343719482422,693200,0.0,0
2017-02-13,103.4719199480812,103.95756424227231,103.05292587611594,103.82424926757812,580000,0.0,0
2017-02-14,103.07197077869913,104.04327392578125,102.9577049485399,104.04327392578125,741300,0.0,0
2017-02-15,104.18661108713009,105.15174637964368,104.15794492931403,104.97018432617188,661400,0.38,0
2017-02-16,105.04662739738595,105.45752598478853,104.4159427928008,105.32374572753906,1031300,0.0,0
2017-02-17,104.76951980086157,107.96115254195475,104.68352132259518,107.88470458984375,2024100,0.0,0
2017-02-21,107.15847371363837,108.11405133354988,106.63290310649558,107.85604858398438,1870700,0.0,0
2017-02-22,107.4355959930908,108.96451878228092,107.4355959930908,108.51539611816406,1477000,0.0,0
2017-02-23,108.68738199682521,108.95494252835023,107.65536384529698,108.20004272460938,1117500,0.0,0
2017-02-24,107.76047323369846,108.25737762451172,106.21244232422748,108.25737762451172,923800,0.0,0
2017-02-27,108.25737035842388,108.25737035842388,105.84931109790689,107.07245635986328,1958400,0.0,0
2017-02-28,106.93866584745318,107.32089095903761,106.08819528989079,106.42265319824219,1387400,0.0,0
2017-03-01,107.64578542558272,108.46758249539019,107.32088534914715,108.17134857177734,1208100,0.0,0
2017-03-02,107.5980078309485,107.7700120450545,106.95777275807266,107.47378540039062,870400,0.0,0
2017-03-03,107.47379601990724,107.8751367956523,107.17756934597314,107.61713409423828,814900,0.0,0
2017-03-06,106.81446098157964,107.70314842472582,106.66157235946247,107.2826919555664,733200,0.0,0
2017-03-07,106.91000083730138,107.98025018941429,106.91000083730138,107.65535736083984,737700,0.0,0
2017-03-08,107.75091694101711,108.12359156894313,107.34001833965286,107.67446899414062,938200,0.0,0
2017-03-09,107.97069190186468,107.9802497175096,107.14889472785609,107.48335266113281,865000,0.0,0
2017-03-10,107.80824223546978,107.92291414831708,106.86222264852982,106.95777893066406,1010900,0.0,0
2017-03-13,107.0915665791897,107.50246518217176,106.4991059242805,107.16801452636719,961800,0.0,0
2017-03-14,107.02466953241361,107.34956235120802,106.47999070230523,107.1297836303711,605900,0.0,0
2017-03-15,107.70314833160852,108.26694289571924,106.98646514551278,107.87515258789062,846800,0.0,0
2017-03-16,107.98981432221294,108.74472141512082,107.9324747152159,108.49626922607422,765200,0.0,0
2017-03-17,108.56314335800946,108.69692360382219,106.94821530294301,106.96733093261719,967000,0.0,0
2017-03-20,106.92910863069791,108.03757458335171,106.69977210436898,107.27311706542969,647200,0.0,0
2017-03-21,107.83691845108109,108.08537064018964,105.64864512082266,105.95442962646484,838500,0.0,0
2017-03-22,105.9161876689136,106.28886953453927,105.21862030126563,106.19330596923828,1059000,0.0,0
2017-03-23,106.23154110065778,107.93246775889729,106.10731865937954,107.18711853027344,972400,0.0,0
2017-03-24,107.43556143164746,108.43892056234516,107.08199518863054,107.47378540039062,907200,0.0,0
2017-03-27,106.12644137497779,107.13935854509441,105.88754698521565,106.46089935302734,654600,0.0,0
2017-03-28,106.35576700044984,106.77621609680759,105.95441895370902,106.31754302978516,915900,0.0,0
2017-03-29,105.98311712148303,106.73801702415072,105.38109855618174,106.4991226196289,1067900,0.0,0
2017-03-30,106.44178164587775,106.94823657583211,105.91621108244698,106.66156768798828,857600,0.0,0
2017-03-31,106.22199877947354,107.69358171911819,106.00221274587696,107.06290435791016,888700,0.0,0
2017-04-03,107.15846712754865,108.14271084908809,106.00221915337757,106.92913055419922,1030900,0.0,0
2017-04-04,106.56600072717099,106.78578676232203,105.89709938623795,106.43222045898438,659600,0.0,0
2017-04-05,106.97690776739685,109.0027348729803,106.54690077016602,108.04715728759766,1514900,0.0,0
2017-04-06,107.90382728560482,108.63006834630524,107.015139772919,108.30516815185547,936500,0.0,0
2017-04-07,107.88470877167319,108.91673429374106,107.88470877167319,108.2478256225586,873000,0.0,0
2017-04-10,108.25736322555915,108.44847578708169,107.57890415453414,107.92291259765625,589500,0.0,0
2017-04-11,107.55024478845976,108.35292634609598,107.4737968428342,108.34336853027344,672600,0.0,0
2017-04-12,107.63625097608421,108.30515232206925,106.96734963009918,107.96115112304688,748700,0.0,0
2017-04-13,107.69357245911216,108.50581909955962,107.41646142256846,107.4355697631836,515000,0.0,0
2017-04-17,108.11403249963885,109.33717047357331,107.83691416328223,109.19383239746094,709500,0.0,0
2017-04-18,108.81160788956267,109.65251342897771,108.25737121358397,109.06961059570312,677700,0.0,0
2017-04-19,109.34673198579097,109.79585457056906,109.07917145625788,109.2989501953125,556500,0.0,0
2017-04-20,109.61428581180968,110.76098309886733,109.38494927058902,110.23541259765625,563600,0.0,0
2017-04-21,110.26408876571678,110.67498738838755,109.20339714185683,109.9105224609375,682100,0.0,0
2017-04-24,111.42988255578868,112.87280648871433,111.27698667049562,112.4714584350586,1097000,0.0,0
2017-04-25,111.5732309035912,113.59905053700014,111.39166884569973,112.82503509521484,823500,0.0,0
2017-04-26,112.7294813274808,113.7997234851769,112.7294813274808,113.4748306274414,567500,0.0,0
2017-04-27,113.71372752489168,114.35396272846835,113.54172327567188,114.12462615966797,416900,0.0,0
2017-04-28,113.96216416738636,114.02905429459022,112.9683627843026,113.06391906738281,669000,0.0,0
2017-05-01,113.05435770354167,113.87615483509683,112.31856632739324,112.6625747680664,802200,0.0,0
2017-05-02,112.78681550536525,113.9812874264006,112.56703675456245,113.57038879394531,872300,0.0,0
2017-05-03,113.46526330180296,113.55126906254024,112.79636200930098,113.37926483154297,614500,0.0,0
2017-05-04,113.51305203710355,114.54507748624768,113.23593368739942,114.09595489501953,1205100,0.0,0
2017-05-05,114.56419845328853,114.65975475567036,111.36301493538653,112.97794342041016,1168400,0.0,0
2017-05-08,112.77724299925046,112.84413312649677,111.14320649896729,111.49677276611328,762000,0.0,0
2017-05-09,111.56366800386445,112.1943526243433,111.34388198114314,111.52544403076172,730100,0.0,0
2017-05-10,111.28654017057855,112.2994498546976,110.39785292058531,111.42987823486328,594200,0.0,0
2017-05-11,111.05720003462979,111.41075898584076,109.52827774303447,110.43607330322266,786800,0.0,0
2017-05-12,110.35009732716699,110.83743662254022,109.16517593056867,109.671630859375,773600,0.0,0
2017-05-15,109.41361479935631,111.67833591366148,108.8976021167117,110.95209503173828,1168800,0.0,0
2017-05-16,110.95209631224061,111.17187503913041,109.70984273333588,110.11119079589844,981600,0.0,0
2017-05-17,110.11121054956463,110.11121054956463,107.55026227846183,107.93248748779297,1178200,0.0,0
2017-05-18,108.30641091679341,109.28439429821523,108.15300620534939,108.71869659423828,909600,0.38,0
2017-05-19,108.93922950549575,110.40619732922224,108.68034852772732,110.02267456054688,739300,0.0,0
2017-05-22,110.24320977143753,110.81849030469458,109.97473869516797,110.2336196899414,541900,0.0,0
2017-05-23,110.27195751537742,110.4445423830969,109.76379299239446,110.15689849853516,386700,0.0,0
2017-05-24,110.32947557828476,111.00063484143571,110.15689072274775,110.310302734375,762600,0.0,0
2017-05-25,110.88558788450224,112.09368192486747,110.5500082385918,111.73892211914062,590500,0.0,0
2017-05-26,111.73893621408315,112.4005128245359,111.46088238237242,112.28545379638672,448600,0.0,0
2017-05-30,112.08408383852176,112.62101123362444,111.71973397891313,111.9498519897461,565500,0.0,0
2017-05-31,112.17998956296226,113.62778463888007,111.50883015827924,113.57025146484375,1040000,0.0,0
2017-06-01,113.68530949415296,114.09759521484376,112.59227429326828,114.09759521484375,698000,0.0,0
2017-06-02,114.14551573185364,114.51944836793407,113.34011729754295,113.92498779296875,595300,0.0,0
2017-06-05,114.0208666063212,114.52903109544161,113.73323005601453,113.96334075927734,509600,0.0,0
2017-06-06,113.46476090941215,113.49353114849681,112.5634909254545,112.91824340820312,712900,0.0,0
2017-06-07,113.1196140566197,113.24425584943752,112.25668964264267,112.82238006591797,676500,0.0,0
2017-06-08,112.82237296400446,113.17713278827716,112.39091444171953,112.54431915283203,750100,0.0,0
2017-06-09,112.76484063079006,113.22506205276528,111.28828288136832,112.00738525390625,545800,0.0,0
2017-06-12,111.74850344633623,112.3908997632044,110.82804603952302,112.36213684082031,588600,0.0,0
2017-06-13,112.3717313600872,114.28933774722239,112.21832665296205,114.0208740234375,701600,0.0,0
2017-06-14,113.84829479135222,115.84260728831009,113.83871202580546,115.06597900390625,736900,0.0,0
2017-06-15,114.56740265712291,116.13025669579454,114.30852898840357,116.09190368652344,517700,0.0,0
2017-06-16,116.32201201028661,117.49175316594248,116.1494271296966,117.21369934082031,1160000,0.0,0
2017-06-19,117.28080779128261,117.92320418327598,116.26447873439231,117.14657592773438,863400,0.0,0
2017-06-20,117.08905978407373,117.45340239889966,116.19737243652344,116.19737243652344,547800,0.0,0
2017-06-21,116.25489513784227,116.25489513784227,113.71406503882227,114.0400619506836,892900,0.0,0
2017-06-22,113.87705259212973,114.519456294168,113.45518415932762,113.82911682128906,722100,0.0,0
2017-06-23,113.84828696183766,115.69877738236285,113.73323526248312,115.11390686035156,1298400,0.0,0
2017-06-26,115.90971439600254,116.5137577584198,115.47825589643132,115.65084075927734,609500,0.0,0
2017-06-27,115.62207071094552,116.26447439404483,114.84544248439674,115.45907592773438,548300,0.0,0
2017-06-28,116.25488861471122,117.44380254077313,115.47826035943284,117.18492889404297,579400,0.0,0
2017-06-29,117.50132202487242,117.64513663681603,115.9192954577091,116.36993408203125,786700,0.0,0
2017-06-30,116.62882228662421,117.16574974527177,116.2932426249695,116.66717529296875,628600,0.0,0
2017-07-03,117.04110714887001,117.78897247967942,116.64800163797007,116.9931640625,399200,0.0,0
2017-07-05,117.2136885475456,119.27511684391466,116.52334908875338,118.87242126464844,819900,0.0,0
2017-07-06,118.40259029293006,118.55600229696138,117.02191883208303,117.13697052001953,714800,0.0,0
2017-07-07,117.46296512472361,118.58476295117364,117.2328471230773,118.3354721069336,598500,0.0,0
2017-07-10,118.01907369850434,118.35466064589806,117.48214628681416,117.9615478515625,515700,0.0,0
2017-07-11,118.10538597433141,118.37384971697851,117.03152368865463,117.55886840820312,586800,0.0,0
2017-07-12,118.1053674796258,119.58192514805174,118.04784163380636,119.16004943847656,480800,0.0,0
2017-07-13,119.38059955684933,119.7065891638538,118.01909332705637,119.54359436035156,820500,0.0,0
2017-07-14,119.39017380954068,120.41609296297115,118.83407350106394,119.94628143310547,403000,0.0,0
2017-07-17,119.65865969621483,120.40652513061421,119.26554681577522,120.2051773071289,492900,0.0,0
2017-07-18,119.75452226277216,120.79961424930201,119.48605853467596,120.6653823852539,663100,0.0,0
2017-07-19,120.86672873295494,121.41324626291257,119.91751561567864,121.38448333740234,845600,0.0,0
2017-07-20,121.39407231099564,122.391228505091,120.87631771126799,121.93099975585938,1248500,0.0,0
2017-07-21,125.12377625830618,128.11523657225237,124.7881893971159,127.10850524902344,2559400,0.0,0
2017-07-24,127.66464207055473,129.6301915849593,127.5495903665504,128.06735229492188,1630700,0.0,0
2017-07-25,129.16038094313373,129.33295849054832,126.87842472615037,127.28112030029297,1016500,0.0,0
2017-07-26,127.31946493806785,128.3262111801968,127.27153648429874,127.7892837524414,661400,0.0,0
2017-07-27,128.08648989198448,128.08648989198448,125.24844119085066,126.45652770996094,799300,0.0,0
2017-07-28,126.45655790075553,126.99348537077074,125.79498132870953,126.76338195800781,677400,0.0,0
2017-07-31,127.25235972029706,127.4057717409423,126.02509281548619,126.20726776123047,894200,0.0,0
