Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,54.939998626708984,54.939998626708984,54.939998626708984,54.939998626708984,0,0,0
2017-02-07,55.099998474121094,55.099998474121094,55.099998474121094,55.099998474121094,0,0,0
2017-02-08,54.459999084472656,54.459999084472656,54.459999084472656,54.459999084472656,0,0,0
2017-02-09,51.130001068115234,51.130001068115234,51.130001068115234,51.130001068115234,0,0,0
2017-02-10,49.599998474121094,49.599998474121094,49.599998474121094,49.599998474121094,0,0,0
2017-03-10,46.78499984741211,46.78499984741211,46.78499984741211,46.78499984741211,0,0,0
2017-03-13,48.970001220703125,48.970001220703125,48.970001220703125,48.970001220703125,0,0,0
2017-03-14,48.310001373291016,48.310001373291016,47.459999084472656,47.459999084472656,0,0,0
2017-03-15,47.560001373291016,47.560001373291016,47.095001220703125,47.35499954223633,0,0,0
2017-03-16,47.60499954223633,48.400001525878906,47.595001220703125,48.29499816894531,0,0,0
2017-03-17,48.25,48.939998626708984,48.25,48.70500183105469,0,0,0
2017-03-20,48.64500045776367,49.095001220703125,48.505001068115234,48.94499969482422,0,0,0
2018-04-13,0.25,0.25,0.20000000298023224,0.22499999403953552,32000,0,0
