Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,3600.0,3600.0,3600.0,3600.0,4200,0,0
2017-02-07,3500.0,3500.0,3500.0,3500.0,500,0,0
2017-02-08,3800.0,3800.0,3600.0,3600.0,200,0,0
2017-02-09,3600.0,3600.0,3600.0,3600.0,0,0,0
2017-02-10,3600.0,3600.0,3600.0,3600.0,0,0,0
2017-02-13,3600.0,3600.0,3600.0,3600.0,0,0,0
2017-02-14,3600.0,3600.0,3600.0,3600.0,0,0,0
2017-02-16,3600.0,3600.0,3600.0,3600.0,0,0,0
2017-02-17,3600.0,3600.0,3600.0,3600.0,0,0,0
2017-02-21,4000.0,4000.0,3400.0,4000.0,24000,0,0
2017-02-22,4100.0,4100.0,4100.0,4100.0,3600,0,0
2017-02-23,3800.0,3800.0,3800.0,3800.0,1600,0,0
2017-02-24,4000.0,4000.0,3500.0,3500.0,3100,0,0
2017-02-27,3600.0,3800.0,3500.0,3800.0,15200,0,0
2017-02-28,4000.0,4000.0,4000.0,4000.0,500,0,0
2017-03-01,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-03-02,3700.0,3700.0,3700.0,3700.0,1300,0,0
2017-03-03,3400.0,4000.0,3400.0,4000.0,3000,0,0
2017-03-06,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-03-07,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-03-08,4000.0,4400.0,4000.0,4400.0,700,0,0
2017-03-09,4000.0,4300.0,4000.0,4300.0,9400,0,0
2017-03-10,4200.0,4200.0,4000.0,4200.0,2600,0,0
2017-03-13,4000.0,4000.0,4000.0,4000.0,1700,0,0
2017-03-14,3800.0,3800.0,3800.0,3800.0,600,0,0
2017-03-15,3600.0,3700.0,3600.0,3700.0,300,0,0
2017-03-16,3500.0,3500.0,3500.0,3500.0,2000,0,0
2017-03-17,3800.0,3800.0,3800.0,3800.0,1200,0,0
2017-03-20,4000.0,4000.0,3800.0,4000.0,2388,0,0
2017-03-21,4100.0,4100.0,4100.0,4100.0,1300,0,0
2017-03-22,4100.0,4100.0,4100.0,4100.0,1300,0,0
2017-03-23,4100.0,4100.0,4000.0,4000.0,300,0,0
2017-03-24,3700.0,4400.0,3700.0,4400.0,3300,0,0
2017-03-27,4500.0,4500.0,4500.0,4500.0,1100,0,0
2017-03-28,4200.0,4200.0,4200.0,4200.0,2000,0,0
2017-03-29,4200.0,4200.0,4000.0,4200.0,7600,0,0
2017-03-30,4200.0,4200.0,4200.0,4200.0,0,0,0
2017-03-31,4200.0,4200.0,4200.0,4200.0,0,0,0
2017-04-03,4000.0,4000.0,3900.0,4000.0,5000,0,0
2017-04-04,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-04-05,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-04-06,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-04-07,4100.0,4100.0,4100.0,4100.0,1100,0,0
2017-04-10,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-11,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-12,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-13,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-17,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-18,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-19,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-20,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-21,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-24,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-25,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-26,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-27,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-04-28,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-01,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-02,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-03,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-04,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-05,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-08,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-09,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-10,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-11,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-12,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-15,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-16,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-17,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-18,4100.0,4100.0,4100.0,4100.0,0,0,0
2017-05-19,3700.0,3900.0,3700.0,3900.0,400,0,0
2017-05-22,3900.0,3900.0,3900.0,3900.0,0,0,0
2017-05-23,3900.0,3900.0,3900.0,3900.0,0,0,0
2017-05-24,3900.0,3900.0,3900.0,3900.0,0,0,0
2017-05-25,3900.0,3900.0,3900.0,3900.0,0,0,0
2017-05-26,3900.0,3900.0,3900.0,3900.0,0,0,0
2017-05-30,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-05-31,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-06-01,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-06-02,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-06-05,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-06-06,3700.0,4000.0,3700.0,4000.0,600,0,0
2017-06-07,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-06-08,4000.0,4000.0,4000.0,4000.0,0,0,0
2017-06-09,3800.0,3900.0,3800.0,3900.0,1300,0,0
2017-06-12,3900.0,3900.0,3900.0,3900.0,0,0,0
2017-06-13,4000.0,4200.0,4000.0,4200.0,3000,0,0
2017-06-14,4200.0,4200.0,4200.0,4200.0,0,0,0
2017-06-15,4600.0,4600.0,4600.0,4600.0,1700,0,0
2017-06-16,5000.0,5000.0,5000.0,5000.0,200,0,0
2017-06-19,5500.0,5500.0,5500.0,5500.0,200,0,0
2017-06-20,6000.0,6000.0,6000.0,6000.0,6700,0,0
2017-06-21,6600.0,6600.0,6600.0,6600.0,7388,0,0
