Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,10200.0,10200.0,10200.0,10200.0,0,0,0
2017-02-07,10200.0,10550.0,9490.0,9490.0,2100,0,0
2017-02-08,9490.0,9490.0,8930.0,8930.0,9280,0,0
2017-02-09,8540.0,8540.0,8540.0,8540.0,20,0,0
2017-02-10,8900.0,9130.0,8900.0,9130.0,270,0,0
2017-02-13,9600.0,9600.0,9000.0,9000.0,1990,0,0
2017-02-14,9000.0,9600.0,9000.0,9010.0,1530,0,0
2017-02-15,9010.0,9010.0,9010.0,9010.0,80,0,0
2017-02-16,9640.0,9640.0,9640.0,9640.0,120,0,0
2017-02-17,10050.0,10050.0,9170.0,9170.0,210,0,0
2017-02-21,9000.0,9300.0,9000.0,9300.0,440,0,0
2017-02-22,8850.0,8850.0,8850.0,8850.0,20,0,0
2017-02-23,8400.0,8400.0,8400.0,8400.0,230,0,0
2017-02-24,8800.0,8800.0,8100.0,8800.0,500,0,0
2017-02-27,8800.0,8800.0,8800.0,8800.0,200,0,0
2017-02-28,8200.0,8200.0,8200.0,8200.0,20,0,0
2017-03-01,8700.0,8700.0,8700.0,8700.0,140,0,0
2017-03-02,8110.0,8200.0,8110.0,8200.0,190,0,0
2017-03-03,8210.0,8770.0,8000.0,8770.0,3770,0,0
2017-03-06,9310.0,9310.0,9310.0,9310.0,50,0,0
2017-03-07,9310.0,9310.0,9310.0,9310.0,0,0,0
2017-03-08,8660.0,9320.0,8660.0,9320.0,1050,0,0
2017-03-09,9310.0,9480.0,9310.0,9480.0,20,0,0
2017-03-10,9790.0,9790.0,9790.0,9790.0,10,0,0
2017-03-13,9110.0,9790.0,9110.0,9790.0,300,0,0
2017-03-14,9110.0,9110.0,9110.0,9110.0,1100,0,0
2017-03-15,9280.0,9290.0,8480.0,8480.0,400,0,0
2017-03-16,8480.0,8480.0,8480.0,8480.0,0,0,0
2017-03-17,8500.0,9060.0,8500.0,9060.0,3010,0,0
2017-03-20,9440.0,9440.0,8550.0,9420.0,200,0,0
2017-03-21,9460.0,9460.0,9460.0,9460.0,10,0,0
2017-03-22,8800.0,8800.0,8800.0,8800.0,500,0,0
2017-03-23,8800.0,8800.0,8550.0,8550.0,20,0,0
2017-03-24,8510.0,8510.0,8510.0,8510.0,10,0,0
2017-03-27,8500.0,8500.0,8500.0,8500.0,1900,0,0
2017-03-28,8500.0,8500.0,8500.0,8500.0,50,0,0
2017-03-29,8500.0,8500.0,8500.0,8500.0,0,0,0
2017-03-30,8900.0,8900.0,8900.0,8900.0,10,0,0
2017-03-31,9150.0,9150.0,9150.0,9150.0,10,0,0
2017-04-03,9010.0,9300.0,9000.0,9300.0,210,0,0
2017-04-04,9010.0,9300.0,8650.0,8650.0,7540,0,0
2017-04-05,8050.0,8800.0,8050.0,8800.0,7510,0,0
2017-04-06,8800.0,8800.0,8800.0,8800.0,0,0,0
