Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,4350.0,4350.0,4270.0,4300.0,1010,0,0
2017-02-07,4300.0,4500.0,4110.0,4400.0,23500,0,0
2017-02-08,4130.0,4500.0,4110.0,4500.0,14320,0,0
2017-02-09,4220.0,4220.0,4190.0,4190.0,23300,0,0
2017-02-10,4200.0,4300.0,4200.0,4200.0,7320,0,0
2017-02-13,4210.0,4490.0,4200.0,4480.0,39900,0,0
2017-02-14,4460.0,4700.0,4190.0,4570.0,47370,0,0
2017-02-15,4670.0,4670.0,4550.0,4640.0,1210,0,0
2017-02-16,4600.0,4750.0,4400.0,4400.0,11450,0,0
2017-02-17,4500.0,4500.0,4210.0,4400.0,23340,0,0
2017-02-21,4500.0,4500.0,4240.0,4500.0,20130,0,0
2017-02-22,4500.0,4570.0,4400.0,4400.0,19500,0,0
2017-02-23,4500.0,4500.0,4310.0,4310.0,15680,0,0
2017-02-24,4310.0,4490.0,4300.0,4450.0,27970,0,0
2017-02-27,4500.0,4500.0,4350.0,4490.0,10020,0,0
2017-02-28,4400.0,4400.0,4180.0,4350.0,18900,0,0
2017-03-01,4400.0,4400.0,4150.0,4200.0,35500,0,0
2017-03-02,4390.0,4390.0,4200.0,4200.0,56190,0,0
2017-03-03,4180.0,4300.0,4180.0,4290.0,14320,0,0
2017-03-06,4390.0,4390.0,4120.0,4250.0,38530,0,0
2017-03-07,4330.0,4330.0,4110.0,4240.0,20110,0,0
2017-03-08,4420.0,4420.0,4120.0,4240.0,4020,0,0
2017-03-09,4150.0,4240.0,4150.0,4240.0,6180,0,0
2017-03-10,4210.0,4210.0,4150.0,4200.0,15000,0,0
2017-03-13,4200.0,4390.0,4200.0,4390.0,920,0,0
2017-03-14,4200.0,4350.0,4200.0,4350.0,15830,0,0
2017-03-15,4200.0,4330.0,4150.0,4320.0,18970,0,0
2017-03-16,4110.0,4320.0,4100.0,4320.0,16790,0,0
2017-03-17,4300.0,4300.0,4300.0,4300.0,10000,0,0
2017-03-20,4330.0,4350.0,4250.0,4310.0,79070,0,0
2017-03-21,4310.0,4400.0,4310.0,4400.0,40680,0,0
2017-03-22,4400.0,4400.0,4270.0,4370.0,11670,0,0
2017-03-23,4390.0,4390.0,4200.0,4350.0,9650,0,0
2017-03-24,4250.0,4350.0,4240.0,4240.0,5320,0,0
2017-03-27,4300.0,4350.0,4220.0,4220.0,100,0,0
2017-03-28,4340.0,4340.0,4230.0,4230.0,2830,0,0
2017-03-29,4230.0,4260.0,4220.0,4230.0,25000,0,0
2017-03-30,4230.0,4350.0,4230.0,4350.0,23500,0,0
2017-03-31,4350.0,4400.0,4300.0,4350.0,20460,0,0
2017-04-03,4350.0,4360.0,4320.0,4330.0,20730,0,0
2017-04-04,4340.0,4370.0,4330.0,4370.0,2220,0,0
2017-04-05,4400.0,4400.0,4200.0,4390.0,43620,0,0
2017-04-06,4390.0,4390.0,4390.0,4390.0,0,0,0
2017-04-07,4400.0,4400.0,4220.0,4250.0,29990,0,0
2017-04-10,4250.0,4360.0,4250.0,4360.0,35470,0,0
2017-04-11,4250.0,4350.0,4100.0,4350.0,36470,0,0
2017-04-12,4390.0,4390.0,4300.0,4350.0,4310,0,0
2017-04-13,4300.0,4300.0,4300.0,4300.0,500,0,0
2017-04-17,4200.0,4300.0,4200.0,4210.0,5160,0,0
2017-04-18,4200.0,4290.0,3930.0,4290.0,10030,0,0
2017-04-19,4100.0,4280.0,4100.0,4260.0,30070,0,0
2017-04-20,4200.0,4300.0,4200.0,4300.0,3030,0,0
2017-04-21,4350.0,4350.0,4290.0,4300.0,7010,0,0
2017-04-24,4340.0,4340.0,4200.0,4320.0,27470,0,0
2017-04-25,4320.0,4320.0,4320.0,4320.0,13240,0,0
2017-04-26,4120.0,4250.0,4050.0,4100.0,92070,0,0
2017-04-27,3820.0,3820.0,3820.0,3820.0,141260,0,0
2017-04-28,3820.0,3820.0,3820.0,3820.0,0,0,0
2017-05-01,3820.0,3820.0,3820.0,3820.0,0,0,0
2017-05-02,3820.0,3820.0,3820.0,3820.0,0,0,0
2017-05-03,4000.0,4000.0,3720.0,3800.0,25630,0,0
2017-05-04,3560.0,3780.0,3560.0,3600.0,24430,0,0
2017-05-05,3590.0,3750.0,3510.0,3680.0,9860,0,0
2017-05-08,3680.0,3710.0,3620.0,3710.0,19540,0,0
2017-05-09,3820.0,3820.0,3710.0,3800.0,14190,0,0
2017-05-10,3810.0,4060.0,3810.0,4060.0,34490,0,0
2017-05-11,4100.0,4100.0,3900.0,3900.0,26250,0,0
2017-05-12,4010.0,4010.0,3900.0,3900.0,12430,0,0
2017-05-15,3900.0,3950.0,3900.0,3950.0,10110,0,0
2017-05-16,3950.0,3980.0,3870.0,3960.0,8500,0,0
2017-05-17,3960.0,3970.0,3750.0,3970.0,22160,0,0
2017-05-18,3730.0,4000.0,3730.0,4000.0,160,0,0
2017-05-19,4000.0,4040.0,4000.0,4040.0,10010,0,0
2017-05-22,3900.0,4050.0,3900.0,3990.0,28890,0,0
2017-05-23,4040.0,4040.0,3850.0,3990.0,33820,0,0
2017-05-24,4080.0,4080.0,3990.0,4040.0,20970,0,0
2017-05-25,4090.0,4090.0,3990.0,4000.0,25260,0,0
2017-05-26,4090.0,4090.0,3900.0,3990.0,19110,0,0
2017-05-30,3940.0,3940.0,3760.0,3760.0,58630,0,0
2017-05-31,3800.0,3980.0,3800.0,3930.0,29160,0,0
2017-06-01,3980.0,3980.0,3800.0,3800.0,16570,0,0
2017-06-02,3800.0,3930.0,3790.0,3800.0,17230,0,0
2017-06-05,3800.0,3960.0,3800.0,3950.0,30030,0,0
2017-06-06,3850.0,3910.0,3850.0,3910.0,15030,0,0
2017-06-07,3890.0,3890.0,3810.0,3890.0,17100,0,0
2017-06-08,3880.0,3880.0,3800.0,3880.0,5090,0,0
2017-06-09,3880.0,3950.0,3850.0,3920.0,9610,0,0
2017-06-12,3920.0,3920.0,3920.0,3920.0,0,0,0
2017-06-13,3920.0,4100.0,3920.0,3940.0,11570,0,0
2017-06-14,3930.0,3940.0,3820.0,3940.0,114760,0,0
2017-06-15,4090.0,4090.0,3860.0,3950.0,4760,0,0
2017-06-16,3980.0,3980.0,3850.0,3850.0,5270,0,0
2017-06-19,4000.0,4000.0,3840.0,3850.0,35400,0,0
2017-06-20,3990.0,4000.0,3850.0,3990.0,12410,0,0
2017-06-21,3850.0,4000.0,3800.0,3990.0,6390,0,0
