Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-06,7600.0,7600.0,7480.0,7500.0,41500,0,0
2017-02-07,7450.0,7570.0,7000.0,7400.0,429340,0,0
2017-02-08,7450.0,7500.0,7300.0,7350.0,32800,0,0
2017-02-09,7500.0,7500.0,7200.0,7250.0,242200,0,0
2017-02-10,7250.0,7350.0,7000.0,7350.0,262180,0,0
2017-02-13,7300.0,7350.0,7130.0,7220.0,58550,0,0
2017-02-14,7500.0,7500.0,7220.0,7280.0,120530,0,0
2017-02-15,7280.0,7660.0,7280.0,7450.0,377630,0,0
2017-02-16,7540.0,7650.0,7510.0,7590.0,248150,0,0
2017-02-17,7590.0,7590.0,7420.0,7430.0,75970,0,0
2017-02-21,8000.0,8170.0,7930.0,8050.0,281370,0,0
2017-02-22,8180.0,8180.0,7960.0,7960.0,102050,0,0
2017-02-23,7960.0,7980.0,7810.0,7890.0,176830,0,0
2017-02-24,7910.0,8000.0,7900.0,8000.0,391170,0,0
2017-02-27,8450.0,8450.0,8300.0,8390.0,379840,0,0
2017-02-28,8390.0,8400.0,8250.0,8260.0,164990,0,0
2017-03-01,8250.0,8350.0,8250.0,8300.0,520560,0,0
2017-03-02,8310.0,8310.0,8190.0,8190.0,158900,0,0
2017-03-03,8100.0,8190.0,8100.0,8110.0,207990,0,0
2017-03-06,8150.0,8250.0,8110.0,8200.0,233370,0,0
2017-03-07,8150.0,8150.0,7970.0,7970.0,484750,0,0
2017-03-08,8000.0,8100.0,7980.0,7990.0,241050,0,0
2017-03-09,7210.0,7450.0,7210.0,7370.0,160350,0,0
2017-03-10,7300.0,7400.0,7300.0,7360.0,76740,0,0
2017-03-13,7300.0,7360.0,7300.0,7300.0,265190,0,0
2017-03-14,7350.0,7350.0,7300.0,7300.0,137110,0,0
2017-03-15,7300.0,7350.0,7300.0,7320.0,157550,0,0
2017-03-16,7300.0,7300.0,7210.0,7270.0,148590,0,0
2017-03-17,7280.0,7350.0,7280.0,7330.0,50610,0,0
2017-03-20,7500.0,7500.0,7350.0,7500.0,88150,0,0
2017-03-21,7400.0,7500.0,7400.0,7450.0,41940,0,0
2017-03-22,7270.0,7400.0,7270.0,7280.0,85340,0,0
2017-03-23,7300.0,7350.0,7300.0,7300.0,15900,0,0
2017-03-24,7360.0,7400.0,7300.0,7300.0,61430,0,0
2017-03-27,7390.0,7390.0,7250.0,7280.0,28440,0,0
2017-03-28,7370.0,7370.0,7250.0,7320.0,47900,0,0
2017-03-29,7350.0,7360.0,7270.0,7320.0,44940,0,0
2017-03-30,7360.0,7430.0,7350.0,7350.0,75290,0,0
2017-03-31,7310.0,7400.0,7280.0,7300.0,72610,0,0
2017-04-03,7290.0,7310.0,7270.0,7270.0,32400,0,0
2017-04-04,7220.0,7300.0,7210.0,7240.0,47340,0,0
2017-04-05,7240.0,7300.0,7200.0,7290.0,95140,0,0
2017-04-06,7290.0,7290.0,7290.0,7290.0,0,0,0
2017-04-07,7300.0,7300.0,7200.0,7290.0,15010,0,0
2017-04-10,7290.0,7290.0,7220.0,7290.0,38140,0,0
2017-04-11,7290.0,7350.0,7290.0,7300.0,57960,0,0
